team,index
Amiens SC,1
Angers SCO,2
Bordeaux,3
Brest,4
Dijon,5
Lille,6
Metz,7
Monaco,8
Montpellier,9
Nantes,10
Nice,11
Nîmes,12
Olympique Lyonnais,13
Olympique Marseille,14
PSG,15
Reims,16
Rennes,17
Saint-Etienne,18
Strasbourg,19
Toulouse,20
